param, seed, node, throughput_bits, throughput_packets, loss_rate, collision_rate
0.072192513369, 41, 3, 1036907.64536, 54.75, 0.0, 0.0155828588553
0.072192513369, 41, 4, 2555490.33899, 135.85, 0.0, 0.0275590551181
0.072192513369, 41, 5, 2520294.26208, 134.216666667, 0.0, 0.0326726726727
0.072192513369, 41, 6, 1042296.28184, 55.4833333333, 0.0, 0.0
0.072192513369, 41, 7, 523725.041116, 27.8166666667, 0.0, 0.0
0.072192513369, 41, 8, 2050888.03598, 108.883333333, 0.0, 0.0212734082397
0.072192513369, 41, 9, 538759.964763, 28.05, 0.0, 0.0
0.072192513369, 42, 0, 2060147.37891, 108.65, 0.0, 0.017779117071
0.072192513369, 42, 1, 1040082.52578, 54.65, 0.0, 0.0126467931346
0.072192513369, 42, 2, 2096116.76154, 109.566666667, 0.0, 0.00529580874565
0.072192513369, 42, 3, 1041374.9881, 54.1666666667, 0.0, 0.0199034981906
0.072192513369, 42, 4, 2580663.4362, 135.683333333, 0.0, 0.0231581473482
0.072192513369, 42, 5, 2564809.04346, 134.566666667, 0.0, 0.0298005287191
0.072192513369, 42, 6, 1063895.29593, 55.1833333333, 0.0, 0.0
0.072192513369, 42, 7, 508803.600524, 27.5666666667, 0.0, 0.0
0.072192513369, 42, 8, 2019137.56782, 107.6, 0.0, 0.0234457721979
0.072192513369, 42, 9, 533669.22745, 27.9666666667, 0.0, 0.0
0.072192513369, 43, 0, 2101275.69677, 109.05, 0.0, 0.0169771634615
0.072192513369, 43, 1, 1075021.19957, 55.25, 0.0, 0.0177777777778
0.072192513369, 43, 2, 2116109.34859, 109.783333333, 0.0, 0.00962261314088
0.072192513369, 43, 3, 1039463.01906, 53.5833333333, 0.0, 0.018919743668
0.072192513369, 43, 4, 2608112.36679, 134.716666667, 0.0, 0.0275505293551
0.072192513369, 43, 5, 2539421.38162, 133.383333333, 0.0, 0.030644379845
0.072192513369, 43, 6, 1051691.07708, 55.5333333333, 0.0, 0.0
0.072192513369, 43, 7, 512227.341527, 27.1666666667, 0.0, 0.0
0.072192513369, 43, 8, 2045081.03538, 107.466666667, 0.0, 0.0256875188879
0.072192513369, 43, 9, 525201.03774, 27.5166666667, 0.0, 0.0
0.072192513369, 44, 0, 2090646.47897, 109.333333333, 0.0, 0.0161967606479
0.072192513369, 44, 1, 1042912.42422, 54.6166666667, 0.0, 0.0108662843344
0.072192513369, 44, 2, 2087165.18128, 109.9, 0.0, 0.00901713255185
0.072192513369, 44, 3, 1046323.85369, 55.0333333333, 0.0, 0.014622500746
0.072192513369, 44, 4, 2591340.48886, 135.9, 0.0, 0.0239406272444
0.072192513369, 44, 5, 2582845.32113, 135.65, 0.0, 0.0271336361463
0.072192513369, 44, 6, 1056522.54878, 55.6333333333, 0.0, 0.0
0.072192513369, 44, 7, 498169.361953, 27.15, 0.0, 0.0
